"Weekly log / Project diary",,,,,,,
Week,ID,Who,"TODO When","TODO What","DONE When","DONE What","Successor ID"
"LP3LV7 2023-02-27 to 2023-03-05",,Clara,,,Monday,"Motiverade reverse engineering bättre i bakgrunden",
"LP3LV7 2023-02-27 to 2023-03-05",,Albin,,,Monday,"Undersökte master-push-skyddade mappar i github, existerar ej så vi överger tanken",
"LP3LV7 2023-02-27 to 2023-03-05",,Enaya,,,Monday,"Tried learning C++ stuff",
"LP3LV7 2023-02-27 to 2023-03-05",,Albin,Monday,"Mejla uppdaterad projektplan till Joachim",Thursday,"Abandoned, too much time passed and we made too significant changes",
"LP3LV7 2023-02-27 to 2023-03-05",,Linus,Monday,"Exempelkod i bakgrunden, case study. Fokuset i det vi bygger är att kombinera manuellt och automatiskt",Thursday,Done,
"LP3LV7 2023-02-27 to 2023-03-05",,All,Monday,"Läsa varandras rapportuppdateringar, se till att texten blir kompatibel",,N/A,
"LP3LV7 2023-02-27 to 2023-03-05",,Albin,Monday,"Arbeta på bakgrunden, motivera reversing",,Done,
"LP3LV7 2023-02-27 to 2023-03-05",,Clara,Monday,"Arbeta på bakgrunden, motivera reversing - finding memory vulns",Thursday,Done,
"LP3LV7 2023-02-27 to 2023-03-05",,Enaya,Monday,"How to evaluate success? - Qualitative comparison on how our vs other tools handle CGC binaries",Thursday,Done,
"LP3LV7 2023-02-27 to 2023-03-05",,Samuel,Monday,"Fix caching",Thursday,"Partly fixed. Would still be nice to build on server with persistent disk (ssh to someone's personal server?)",
"LP3LV7 2023-02-27 to 2023-03-05",,Samuel,Monday,"Implement demo (identifying a buffer overrun)",Thursday,"Worked on this. Realized the scope needed to be narrowed somewhat",
"LP3LV7 2023-02-27 to 2023-03-05",,Loke,Monday,"Set up more Clippy rules to catch common Rust mistakes? Low prio",,"Placed on hold due to low prio.",
"LP3LV7 2023-02-27 to 2023-03-05",,Loke,Monday,"Get us closer to running demos",Thursday,"Multiple issues, see the following lines",
"LP3LV7 2023-02-27 to 2023-03-05",,Loke,,,Thursday,"Tried to build libgomp with correct symbols. Gave up and used ubuntu binary distribution. Libgomp is used inside KLEE for parallelization using openMP",
"LP3LV7 2023-02-27 to 2023-03-05",,Loke,,,Thursday,"Tried using nixpkgs LLVM for s2e-llvm. Gave up after realizing they have incompatible LLVM feature flags. This would've sped up the build otherwise, from 7GB to 2GB disk usage for the amba installation.",
